1;JANDARK 5 MG 56 FILM KAPLI TABLET;L04AA29;tofacitinib;ILKO ILAÇ SAN. VE TIC. A.S.;Normal
158;%5 DEKSTROZ-%0,9 SODYUM KLORUR 500 CC SETSIZ (CAM SISE);B05BB02;electrolytes with carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
159;%5 DEKSTROZ+ %0,45 NACL+ %0,3 POTASYUM KLORUR 500 ML SETLI SISE;B05BB02;electrolytes with carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
160;%50 DEKSTROZ BIOSEL SUDAKI HIPERTONIK SOLUSYON 500 ML SETLI SISE;B05BA03;carbohydrates;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
161;%50 DEKSTROZ SUDAKI SOLUSYON 1000ML CAM(SETLI);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
162;%50 DEKSTROZ SUDAKI SOLUSYON 1000ML CAM(SETSIZ);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
163;%50 DEKSTROZ SUDAKI SOLUSYON 500ML CAM(SETLI);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
164;%50 DEKSTROZ SUDAKI SOLUSYON 500ML CAM(SETSIZ);B05BA03;carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
165;1/3 ISODEXOL INF. 500 ML SOLUSYON(SETSIZ);B05BB02;electrolytes with carbohydrates;I.E. ULAGAY ILAÇ SANAYII TÜRK A.S.;Normal
166;1/3 ISODEXOL INF. 500 ML SOLUSYONU(SETLI);B05BB02;electrolytes with carbohydrates;I.E. ULAGAY ILAÇ SANAYII TÜRK A.S.;Normal
167;1/3 IZODEKS COZELTISI 500 ML (SETSIZ-MEDIFLEKS);B05BB02;electrolytes with carbohydrates;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
168;1/3 POLIDEKS (%3,33 DEKSTROZ-%3 SODYUM KLORUR)500 CC SETLI(CAM SISE);B05BB02;electrolytes with carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
169;1/3 POLIDEKS (%3,33 DEKSTROZ-%3 SODYUM KLORUR)500 CC SETSIZ(CAM SISE);B05BB02;electrolytes with carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
170;1/3 POLIDEKS SOLUSYONU 1000 ML (CAM SISE ) SETLI;B05BB02;electrolytes with carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
171;1/3 POLIDEKS SOLUSYONU 1000 ML (CAM SISE ) SETSIZ;B05BB02;electrolytes with carbohydrates;POLIFARMA ILAÇ SAN. VE TIC. A.S.;Normal
172;1/4 ISODEXOL INF. 500 ML SOLUSYON(SETSIZ);B05BB02;electrolytes with carbohydrates;I.E. ULAGAY ILAÇ SANAYII TÜRK A.S.;Normal
173;1/4 ISODEXOL INF. 500 ML SOLUSYONU(SETLI);B05BB02;electrolytes with carbohydrates;I.E. ULAGAY ILAÇ SANAYII TÜRK A.S.;Normal
174;5-FROTU 1000 MG/20 ML ENJ. ICIN COZ. ICEREN 1 FLAKON;L01BC02;fluorouracil;ONKO ILAÇ SAN. VE TIC. A.S.;Normal
175;5-FROTU 5000 MG/100 ML ENJ. ICIN COZ. ICEREN 1 FLAKON;L01BC02;fluorouracil;ONKO ILAÇ SAN. VE TIC. A.S.;Normal
176;ABAFINE 31G 4MM INSULIN KALEM IGNESI;V07AY;Other non-therapeutic auxiliary products;IYON SAGLIK MEDIKAL KOZMETIK;Normal
177;ABAFINE 31G 5MM INSULIN KALEM IGNESI;V07AY;Other non-therapeutic auxiliary products;ABAFINE;Normal
178;ABAFINE 31G 6MM INSULIN KALEM IGNESI;V07AY;Other non-therapeutic auxiliary products;ABAFINE;Normal
179;ABAFINE 31G 7MM INSULIN KALEM IGNESI;V07AY;Other non-therapeutic auxiliary products;ABAFINE;Normal
180;ABAFINE 31G 8MM INSULIN KALEM IGNESI;V07AY;Other non-therapeutic auxiliary products;ABAFINE;Normal
181;ABALEVO 1,5 MG TABLET (1 TABLET);G03AD01;levonorgestrel;ABAYPHARMA SAGLIK ÜRÜNLERI SAN. TIC. A.S.;Normal
182;ABAVIR 245 MG 30 FILM KAPLI TABLET;J05AF07;tenofovir disoproxil;DROGSAN ILAÇLARI SAN. VE TIC. A.S.;Normal
183;ABETYL 250 MG TABLET (120 TABLET);L02BX03;abiraterone;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
184;ABILIFY 1 MG/ML ORAL SOLUSYON 150 ML;N05AX12;aripiprazole;ABDI IBRAHIM OTSUKA ILAÇ SAN. VE TIC. A.S;Normal
185;ABILIFY 10 MG 28 TABLET;N05AX12;aripiprazole;ABDI IBRAHIM OTSUKA ILAÇ SAN. VE TIC. A.S;Normal
186;ABILIFY 15 MG 28 TABLET;N05AX12;aripiprazole;ABDI IBRAHIM OTSUKA ILAÇ SAN. VE TIC. A.S;Normal
187;ABILIFY 30 MG 28 TABLET;N05AX12;aripiprazole;ABDI IBRAHIM OTSUKA ILAÇ SAN. VE TIC. A.S;Normal
188;ABILIFY 5 MG 28 TABLET;N05AX12;aripiprazole;ABDI IBRAHIM OTSUKA ILAÇ SAN. VE TIC. A.S;Normal
189;ABILIFY MAINTENA 400 MG UZUN SALIMLI IM ENJEKSIYONLUK  1 FLAKON;N05AX12;aripiprazole;ABDI IBRAHIM OTSUKA ILAÇ SAN. VE TIC. A.S;Normal
190;ABIRATEX 250 MG 120 TABLET;L02BX03;abiraterone;GENSENTA ILAÇ SANAYI VE TICARET A.S.;Normal
191;ABITIGA 250 MG FILM KAPLI TABLET;L02BX03;abiraterone;TEVA ILAÇLARI SANAYI VE TICARET A.S;Normal
192;ABIZOL 1 MG/ML ORAL COZELTI 150 ML;N05AX12;aripiprazole;NOBEL ILAÇ SAN. VE TIC. A.S.;Normal
193;ABIZOL 10 MG 28 TABLET;N05AX12;aripiprazole;NOBEL ILAÇ SAN. VE TIC. A.S.;Normal
194;ABIZOL 15 MG 28 TABLET;N05AX12;aripiprazole;NOBEL ILAÇ SAN. VE TIC. A.S.;Normal
195;ABIZOL 20 MG 28 TABLET;N05AX12;aripiprazole;NOBEL ILAÇ SAN. VE TIC. A.S.;Normal
196;ABIZOL 30 MG 28 TABLET;N05AX12;aripiprazole;NOBEL ILAÇ SAN. VE TIC. A.S.;Normal
197;ABIZOL 5 MG 28 TABLET;N05AX12;aripiprazole;NOBEL ILAÇ SAN. VE TIC. A.S.;Normal
198;ABIZOL EASYTAB 10 MG 28 AGIZDA DAGILAN TABLET;N05AX12;aripiprazole;NOBEL ILAÇ SAN. VE TIC. A.S.;Normal
199;ABIZOL EASYTAB 15 MG 28 AGIZDA DAGILAN TABLET;N05AX12;aripiprazole;NOBEL ILAÇ SAN. VE TIC. A.S.;Normal
200;ABIZOL EASYTAB 5 MG AGIZDA DAGILAN 28 TABLET;N05AX12;aripiprazole;NOBEL ILAÇ SAN. VE TIC. A.S.;Normal
201;ABOUND PORTAKAL AROMALI TOZ 24 GR 30 POSET;V06D;OTHER NUTRIENTS;ABBOTT LABORATUARLARI ITHALAT IHRACAT VE TICARET LIMITED SIRKETI;Normal
202;ABSTRAL 100 MCG 10 DILALTI TABLET;N02AB03;fentanyl;ER-KIM ILAÇ SANAYI VE TICARET A.S.;Kirmizi
203;ABSTRAL 200 MCG 10 DILALTI TABLET;N02AB03;fentanyl;ER-KIM ILAÇ SANAYI VE TICARET A.S.;Kirmizi
204;ABSTRAL 800 MCG 10 DILALTI TABLET;N02AB03;fentanyl;ER-KIM ILAÇ SANAYI VE TICARET A.S.;Kirmizi
205;ABYGA 250 MG TABLET (120 TABLET);L02BX03;abiraterone;DEVA HOLDING A.S.;Normal
206;ABYGA 500 MG FILM KAPLI TABLET (60 TABLET);L02BX03;abiraterone;DEVA HOLDING A.S.;Normal
207;ACCU-CHEK ACTIVE (MODEL GB) MG/DL KIT GLUKOZ OLCER;V07AY;Other non-therapeutic auxiliary products;ROCHE DIAGNOSTICS TURKEY;Normal
208;ACCU-CHEK ACTIVE 50 TEST (KAN GLUKOZU TEST SERIDI);V07AY;Other non-therapeutic auxiliary products;ROCHE DIAGNOSTICS TURKEY ANONIM SIRKETI;Normal
209;ACCU-CHEK INSTANT MG/DL KIT;V07AY;Other non-therapeutic auxiliary products;"ROCHE DIAGNOSTICS TURKEY A.S. ";Normal
210;ACCU-CHEK INSTANT OLCUM CUBUKLARI (50 TEST) (GLIKOZ TEST STRIPLERI);V07AY;Other non-therapeutic auxiliary products;ROCHE DIAGNOSTICS TURKEY A.S.;Normal
211;ACCU-CHEK PERFORMA 50 OLCUM CUBUGU;V07AY;Other non-therapeutic auxiliary products;ROCHE DIAGNOSTICS TURKEY ANONIM SIRKETI;Normal
212;ACCU-CHEK PERFORMA CONNECT MG/DL YALNIZCA OLCUM CIHAZI;V07AY;Other non-therapeutic auxiliary products;ROCHE DIAGNOSTICS TURKEY A.S.;Normal
213;ACCU-CHEK PERFORMA NANO MG-DL-SET;V07AY;Other non-therapeutic auxiliary products;ROCHE DIAGNOSTICS TURKEY ANONIM SIRKETI;Normal
214;ACCU-FINE 4MM KALEM IGNE 100 ADET 0,23MM (32G) X 4MM;V07AY;Other non-therapeutic auxiliary products;ROCHE DIAGNOSTICS TURKEY ANONIM SIRKET;Normal
215;ACCU-FINE 6MM KALEM IGNE 100 ADET  0,25MM (31G) X 6MM;V07AY;Other non-therapeutic auxiliary products;ROCHE DIAGNOSTICS TURKEY ANONIM SIRKET;Normal
216;ACE PLUS SELENYUM 30 YUMUSAK KAPSUL;A11JC;Vitamins, other combinations;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
217;ACETUDIL  FORTE 60 MG KAPSUL (20 KAPSUL);M01AB11;acemetacin;SANTA FARMA ILAÇ SAN. A.S.;Normal
218;ACIDPASS  10 MG/800 MG/165 MG 12 CIGNEME TABLETI;A02BA53;famotidine, combinations;ILKO ILAÇ SAN. VE TIC. A.S.;Normal
219;ACIDPASS 10/800/165 MG CIGNEME TABLETI (6 TABLET);A02BA53;famotidine, combinations;ILKO ILAÇ SAN. VE TIC. A.S.;Normal
220;ACLABON 5MG/100 ML IV INFUZYON COZELTISI ICEREN 1 FLAKON;M05BA08;zoledronic acid;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Normal
221;ACLASTA 5MG/100 ML IV INFUZYON COZELTISI;M05BA08;zoledronic acid;SANDOZ ILAÇ SANAYI VE TICARET A.S.;Normal
222;ACLOREM %0.05 KREM (60 G);D07AB10;alclometasone;SOLEBIO ILAÇ SANAYI ITHALAT IHRACAT A.S;Normal
223;ACMEL 500 MG/5 ML IM/IV/SC ENJEKSIYONLUK COZELTI (5 ADET);A11GA01;ascorbic acid (vit c);MENTA PHARMA ILAÇ SAN. VE TIC. LTD.STI;Normal
224;"ACNEDUR %3 MERHEM (20 G) ";D06AA04;tetracycline;ADEKA ILAÇ SANAYI VE TICARET A.S.;Normal
225;ACNEFFERIN % 0.1 JEL;D10AD03;adapalene;MEGA FARMA ILAÇ VE KOZMETIK SANAYI PAZARLAMA LIMITED SIRKETI;Normal
226;ACNEGEN 10 MG 30 YUMUSAK JELATIN KAPSUL;D10BA01;isotretinoin;BIO-GEN ILAÇ SANAYI TIC.LTD.STI.;Normal
227;ACNEGEN 20 MG 30 YUMUSAK JELATIN KAPSUL;D10BA01;isotretinoin;BIO-GEN ILAÇ SANAYI TIC.LTD.STI.;Normal
228;ACNELYSE %0,025 KREM (20 G);D10AD01;tretinoin;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
229;ACNELYSE %0,05 KREM;D10AD01;tretinoin;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
230;ACNELYSE %0,1 KREM;D10AD01;tretinoin;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
231;ACNEMIX 46,6 GR JEL;D10AF52;erythromycin, combinations;BILIM ILAÇ SANAYII VE TICARET A.S.;Normal
232;ACNEWELL %5 JEL (30 GR);D10AX05;dapsone;ILKO ILAÇ SAN. VE TIC. A.S.;Normal
233;ACTEMRA 162 MG/ 0,9 ML SC ENJ. COZELTI ICEREN KULLANIMA HAZIR 4 ENJEKTOR;L04AC07;tocilizumab;ROCHE MÜSTAHZARLARI SANAYI ANONIM SIRKETI;Normal
234;ACTEMRA 200 MG/10 ML IV INFUZYONLUK COZELTI KONSANTRESI 1 FLAKON;L04AC07;tocilizumab;ROCHE MÜSTAHZARLARI SANAYI ANONIM SIRKETI;Normal
235;ACTEMRA 400 MG/20 ML IV INFUZYONLUK COZELTI KONSANTRESI 1 FLAKON;L04AC07;tocilizumab;ROCHE MÜSTAHZARLARI SANAYI ANONIM SIRKETI;Normal
236;ACTEMRA 80 MG/4 ML IV INFUZYONLUK COZELTI KONSANTRESI 1 FLAKON;L04AC07;tocilizumab;ROCHE MÜSTAHZARLARI SANAYI ANONIM SIRKETI;Normal
237;ACTIFED 150 ML SURUP;R01BA52;pseudoephedrine, combinations;GLAXOSMITHKLINE ILAÇLARI SAN. VE TIC. A.S.;Normal
238;ACTILYSE 10 MG 1 FLAKON;B01AD02;alteplase;BOEHRINGER INGELHEIM ILAÇ TICARET A.S.;Normal
239;ACTILYSE 50 MG 1 FLAKON;B01AD02;alteplase;BOEHRINGER INGELHEIM ILAÇ TICARET A.S.;Normal
240;ACTINOMA 30 MG 30 GR JEL;D11AX18;diclofenac;ORVA ILAÇ SAN. VE TIC. A.S.;Normal
241;ACTIVELLE 28 FILM TABLET;G03FA01;norethisterone and estrogen;NOVO NORDISK SAGLIK ÜRÜNLERI TIC. LTD. STI.;Normal
242;ACTOS 15 MG 28 TABLET;A10BG03;pioglitazone;ACINO TURKEY ILAÇ ANONIM SIRKETI;Normal
243;ACTOS 30 MG TABLET (28 TABLET);A10BG03;pioglitazone;ACINO TURKEY ILAÇ ANONIM SIRKETI;Normal
244;ACTRAPID HM PENFILL 100/3 IU/ML 5 PENFILL;A10AB01;insulin (human);NOVO NORDISK SAGLIK ÜRÜNLERI TIC. LTD. STI.;Normal
245;ACUFIX %0,4 GOZ DAMLASI  5 ML;S01BC05;ketorolac;DEVA HOLDING A.S.;Normal
246;ACULAR LS STERIL GOZ DAMLASI %0,4 5 ML;S01BC05;ketorolac;ALLERGAN ILAÇLARI TIC. A.S.;Normal
247;ACYL %5  10 GR KREM;D06BB03;aciclovir;METIN SAGLIK ECZA DEPOSU ILAÇ SANAYI VE TIC.LTD.STI;Normal
248;ACYL %5 10 GR KREM;D06BB03;aciclovir;GLOBAL PHARMA ILAÇ SANAYI VE TICARET ANONIM SIRKETI;Normal
249;ADACEL 0,5 ML IM ENJ. ICIN SUS. ICEREN FLAKON;J07CA;Bacterial and viral vaccines, combined;SANOFI PASTEUR ASI TIC. A.S.;Normal
250;ADADERM %0,1 JEL 30 G;D10AD03;adapalene;KURTSAN ILAÇLARI A.S.;Normal
251;ADALAT CRONO 30 MG 20 KONTROLLU SALIM TABLETI;C08CA05;nifedipine;BAYER TÜRK KIMYA SAN. LTD. STI.;Normal
252;ADCETRIS 50 MG IV INFUZYONLUK COZELTI KONSANTRESI ICEREN FLAKON (1 FLAKON);L01FX05;brentuksimab vedotin;TAKEDA ILAÇ SAGLIK SANAYI TICARET LTD.STI.;Normal
253;ADELEKS 4 MG 20 TABLET;M03BX05;thiocolchicoside;GENSENTA ILAÇ SANAYI VE TICARET A.S.;Normal
254;ADELEKS 4 MG/2 ML IM 6 AMPUL;M03BX05;thiocolchicoside;GENSENTA ILAÇ SANAYI VE TICARET A.S.;Normal
255;ADELEKS 8 MG 14 TABLET;M03BX05;thiocolchicoside;GENSENTA ILAÇ SANAYI VE TICARET A.S.;Normal
256;ADEMPAS 0,5 MG 42 FILM KAPLI TABLET;C02KX05;riociguat;BAYER TÜRK KIMYA SAN. LTD. STI.;Normal
257;ADEMPAS 1 MG 42 FILM KAPLI TABLET;C02KX05;riociguat;BAYER TÜRK KIMYA SAN. LTD. STI.;Normal
258;ADEMPAS 1,5 MG 42 FILM KAPLI TABLET;C02KX05;riociguat;BAYER TÜRK KIMYA SAN. LTD. STI.;Normal
259;ADEMPAS 2 MG 42 FILM KAPLI TABLET;C02KX05;riociguat;BAYER TÜRK KIMYA SAN. LTD. STI.;Normal
260;ADEMPAS 2,5 MG 42 FILM KAPLI TABLET;C02KX05;riociguat;BAYER TÜRK KIMYA SAN. LTD. STI.;Normal
261;ADENURIC 120 MG 28 FILM KAPLI TABLET;M04AA03;febuxostat;MENARINI ILAÇ SANAYI VE TICARET A.S.;Normal
262;ADENURIC 80 MG 28 FILM KAPLI TABLET;M04AA03;febuxostat;MENARINI ILAÇ SANAYI VE TICARET A.S.;Normal
263;ADEPIRON 500 MG TABLET;N02BB02;metamizole sodium;ADEKA ILAÇ SANAYI VE TICARET A.S.;Normal
264;ADMIRAZ 0,25 MG FILM KAPLI TABLET (84 TABLET);L04AA42;siponimod;FARMANOVA SAGLIK HIZMETLERI LTD.STI;Normal
265;ADMIRAZ 2 MG FILM KAPLI TABLET (98 TABLET);L04AA42;siponimod;FARMANOVA SAGLIK HIZMETLERI LTD.STI;Normal
266;ADOPORT 0,5 MG 50 KAPSUL;L04AD02;tacrolimus;SANDOZ ILAÇ SANAYI VE TICARET A.S.;Normal
267;ADOPORT 1 MG 50 KAPSUL;L04AD02;tacrolimus;SANDOZ ILAÇ SANAYI VE TICARET A.S.;Normal
268;ADOPORT 5 MG 50 KAPSUL;L04AD02;tacrolimus;SANDOZ ILAÇ SANAYI VE TICARET A.S.;Normal
269;ADOZIN 10 MG/2ML IV ENJEKSIYON VE INFUZYON ICIN COZELTI ICEREN 2ML 10 AMPUL;C01EB10;adenosine;VEM ILAÇ SAN. VE TIC. ANONIM SIRKETI;Normal
270;ADOZIN 250 MG/50 ML IV ENJEKSIYON VE INFUZYON ICIN COZELTI ICEREN 10 FLAKON;C01EB10;adenosine;VEM ILAÇ SAN. VE TIC. ANONIM SIRKETI;Normal
271;ADOZIN 50 MG/10 ML IV ENJEKSIYON VE INFUZYON ICIN COZELTI ICEREN 10 FLAKON;C01EB10;adenosine;VEM ILAÇ SAN. VE TIC. ANONIM SIRKETI;Normal
272;ADRENALIN 0,5 MG 10 AMPUL;C01CA24;epinephrine;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
273;ADRENALIN 1 MG 10 AMPUL;C01CA24;epinephrine;OSEL ILAÇ SAN. VE TIC. A.S.;Normal
274;ADRENALIN BAS GALEN 1 MG 10 AMP;C01CA24;epinephrine;GALEN ILAÇ SAN.VE TIC.A.S;Normal
275;ADRENALIN BAS.GALEN 0,25 MG 10 AMPUL;C01CA24;epinephrine;GALEN ILAÇ SAN.VE TIC.A.S;Normal
276;ADRENALIN COD.GALEN 0,5 MG 10 AMPUL;C01CA24;epinephrine;GALEN ILAÇ SAN.VE TIC.A.S;Normal
277;ADRIMISIN 10 MG LIY. ENJ. TOZ ICEREN FLAKON;L01DB01;doxorubicin;SABA ILAÇ SANAYI VE TICARET A.S.;Normal
278;ADRIMISIN 50 MG LIY. ENJ. TOZ ICEREN FLAKON;L01DB01;doxorubicin;SABA ILAÇ SANAYI VE TICARET A.S.;Normal
279;ADVAGRAF 0,5 MG 50 UZATILMIS SALIMLI 50 SERT KAPSUL;L04AD02;tacrolimus;ASTELLAS PHARMA ILAÇ TICARET VE SANAYI A.S;Normal
280;ADVAGRAF 1 MG 50 UZATILMIS SALIMLI 50 SERT KAPSUL;L04AD02;tacrolimus;ASTELLAS PHARMA ILAÇ TICARET VE SANAYI A.S;Normal
281;ADVAGRAF 3 MG UZATILMIS SALIMLI 50 KAPSUL;L04AD02;tacrolimus;ASTELLAS PHARMA ILAÇ TICARET VE SANAYI A.S;Normal
282;ADVAGRAF 5 MG 50 UZATILMIS SALIMLI 50 SERT KAPSUL;L04AD02;tacrolimus;ASTELLAS PHARMA ILAÇ TICARET VE SANAYI A.S;Normal
283;ADVANTAN %0,1 KREM 30 G;D07AC14;methylprednisolone aceponate;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
284;ADVANTAN %0,1 MERHEM 30 G;D07AC14;methylprednisolone aceponate;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
285;ADVANTAN %0,1 YAGLI MERHEM 15 GR;D07AC14;methylprednisolone aceponate;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
286;ADVANTAN M %0,1 EMULSIYON 50 G;D07AC14;methylprednisolone aceponate;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
287;ADVANTAN S %0,1 COZELTI %0,1 20 ML;D07AC14;methylprednisolone aceponate;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
288;ADVATE 1000 IU/5 ML IV ENJEKSIYON ICIN LIYOFILIZE TOZ ICEREN FLAKON;B02BD02;coagulation factor viii;TAKEDA ILAÇ SAGLIK SANAYI TICARET LTD.STI.;Turuncu
289;ADVATE 1500 IU/5 ML IV ENJEKSIYON ICIN LIYOFILIZE TOZ ICEREN FLAKON;B02BD02;coagulation factor viii;TAKEDA ILAÇ SAGLIK SANAYI TICARET LTD.STI.;Turuncu
290;ADVATE 2000 IU/5 ML IV ENJEKSIYON ICIN LIYOFILIZE TOZ ICEREN FLAKON;B02BD02;coagulation factor viii;TAKEDA ILAÇ SAGLIK SANAYI TICARET LTD.STI.;Turuncu
291;ADVATE 250 IU/5 ML IV ENJEKSIYON ICIN LIYOFILIZE TOZ ICEREN FLAKON;B02BD02;coagulation factor viii;TAKEDA ILAÇ SAGLIK SANAYI TICARET LTD.STI.;Turuncu
292;ADVATE 500 IU/5 ML IV ENJEKSIYON ICIN LIYOFILIZE TOZ ICEREN FLAKON;B02BD02;coagulation factor viii;TAKEDA ILAÇ SAGLIK SANAYI TICARET LTD.STI.;Turuncu
293;ADVIL LIQUI-GELS 200 MG YUMUSAK KAPSUL (20 KAPSUL);M01AE01;ibuprofen;GLAXOSMITHKLINE TÜKETICI SAGLIGI ANONIM SIRKETI;Normal
294;ADYNOVATE 1000 IU/2ML IV ENJEKSIYONLUK COZELTI HAZIRLAMAK ICIN LIYOFILIZE TOZ VE COZUCU (1 FLAKON);B02BD02;coagulation factor VIII;TAKEDA ILAÇ SAGLIK SANAYI TICARET LTD.STI.;Turuncu
295;ADYNOVATE 1500 IU/2ML IV ENJEKSIYONLUK COZELTI HAZIRLAMAK ICIN LIYOFILIZE TOZ VE COZUCU (1 FLAKON);B02BD02;coagulation factor VIII;TAKEDA ILAÇ SAGLIK SANAYI TICARET LTD.STI.;Turuncu
296;ADYNOVATE 2000 IU/5ML IV ENJEKSIYONLUK COZELTI HAZIRLAMAK ICIN LIYOFILIZE TOZ VE COZUCU (1 FLAKON);B02BD02;coagulation factor VIII;TAKEDA ILAÇ SAGLIK SANAYI TICARET LTD.STI.;Turuncu
297;ADYNOVATE 250 IU/2ML IV ENJEKSIYONLUK COZELTI HAZIRLAMAK ICIN LIYOFILIZE TOZ VE COZUCU (1 FLAKON);B02BD02;coagulation factor VIII;TAKEDA ILAÇ SAGLIK SANAYI TICARET LTD.STI.;Turuncu
298;ADYNOVATE 500 IU/2ML IV ENJEKSIYONLUK COZELTI HAZIRLAMAK ICIN LIYOFILIZE TOZ VE COZUCU (1 FLAKON);B02BD02;coagulation factor VIII;TAKEDA ILAÇ SAGLIK SANAYI TICARET LTD.STI.;Turuncu
299;AERIUS 0,5 MG/ML 150 ML SURUP;R06AX27;desloratadine;ORGANON TURKEY ILAÇLARI LIMITED SIRKETI;Normal
300;AERIUS 0,5 MG/ML 150 ML SURUP;R06AX27;desloratadine;MERCK SHARP DOHME ILAÇLARI LTD. STI.;Normal
301;AERIUS 5 MG 20 FILM TABLET;R06AX27;desloratadine;MERCK SHARP DOHME ILAÇLARI LTD. STI.;Normal
302;AERIUS 5 MG FILM KAPLI TABLET (20 TABLET);R06AX27;desloratadine;ORGANON TURKEY ILAÇLARI LIMITED SIRKETI;Normal
303;AETHOXYSKLEROL % 0.5 I.V. ENJEKSIYONLUK COZELTI ICEREN AMPUL ( 2 ML X  5 AMPUL );C05BB02;polidocanol;ASSOS ILAÇ KIMYA GIDA ÜRÜNLERI ÜRETIM VE TIC. A.S.;Normal
304;AETHOXYSKLEROL % 0.5 I.V. ENJEKSIYONLUK COZELTI ICEREN AMPUL ( 2 ML X 6 AMPUL );C05BB02;polidocanol;ASSOS ILAÇ KIMYA GIDA ÜRÜNLERI ÜRETIM VE TIC. A.S.;Normal
305;AETHOXYSKLEROL % 1 I.V. ENJEKSIYONLUK COZELTI ICEREN AMPUL ( 2 ML X  5 AMPUL );C05BB02;polidocanol;ASSOS ILAÇ KIMYA GIDA ÜRÜNLERI ÜRETIM VE TIC. A.S.;Normal
306;AETHOXYSKLEROL % 1 I.V. ENJEKSIYONLUK COZELTI ICEREN AMPUL ( 2 ML X 6 AMPUL );C05BB02;polidocanol;ASSOS ILAÇ KIMYA GIDA ÜRÜNLERI ÜRETIM VE TIC. A.S.;Normal
307;AETHOXYSKLEROL % 2 I.V. ENJEKSIYONLUK COZELTI ICEREN AMPUL ( 2 ML X  5 AMPUL );C05BB02;polidocanol;ASSOS ILAÇ KIMYA GIDA ÜRÜNLERI ÜRETIM VE TIC. A.S.;Normal
308;AETHOXYSKLEROL % 2 I.V. ENJEKSIYONLUK COZELTI ICEREN AMPUL ( 2 ML X 6 AMPUL );C05BB02;polidocanol;ASSOS ILAÇ KIMYA GIDA ÜRÜNLERI ÜRETIM VE TIC. A.S.;Normal
309;AETHOXYSKLEROL % 3 I.V. ENJEKSIYONLUK COZELTI ICEREN AMPUL ( 2 ML X  5 AMPUL );C05BB02;polidocanol;ASSOS ILAÇ KIMYA GIDA ÜRÜNLERI ÜRETIM VE TIC. A.S.;Normal
310;AETHOXYSKLEROL % 3 I.V. ENJEKSIYONLUK COZELTI ICEREN AMPUL ( 2 ML X 6 AMPUL );C05BB02;polidocanol;ASSOS ILAÇ KIMYA GIDA ÜRÜNLERI ÜRETIM VE TIC. A.S.;Normal
311;AFEBRYL 16 EFERVESAN TABLET;N02BE51;paracetamol, combinations excl. psycholeptics;GALEPHARMA ILAÇ SAN. ve TIC. A.S;Normal
312;A-FERIN 300 MG 30 KAPSUL;R05X;OTHER COLD PREPARATIONS;HÜSNÜ ARSAN ILAÇLARI A.S.;Normal
313;A-FERIN FORTE 650 MG 30 TABLET;R05X;OTHER COLD PREPARATIONS;HÜSNÜ ARSAN ILAÇLARI A.S.;Normal
314;A-FERIN PED. 100 ML SURUP;R05X;OTHER COLD PREPARATIONS;HÜSNÜ ARSAN ILAÇLARI A.S.;Normal
315;A-FERIN PLUS PEDIATRIK 100 ML SURUP;R05X;OTHER COLD PREPARATIONS;HÜSNÜ ARSAN ILAÇLARI A.S.;Normal
316;A-FERIN SINUS 20 FILM TABLET;R05X;OTHER COLD PREPARATIONS;HÜSNÜ ARSAN ILAÇLARI A.S.;Normal
317;AFILTA 20 MG 4 FILM TABLET;G04BE08;tadalafil;SANOFI ILAÇ SANAYI ve TIC. A.S.;Normal
318;AFINITOR 10 MG 30 TABLET;L04AA18;everolimus;NOVARTIS SAGLIK GIDA VE TARIM ÜRÜNLERI SANAYI VE TICARET ANONIM SIRKETI;Normal
319;AFINITOR 5 MG 30 TABLET;L04AA18;everolimus;NOVARTIS SAGLIK GIDA VE TARIM ÜRÜNLERI SANAYI VE TICARET ANONIM SIRKETI;Normal
320;AFTOJEL 5 GR JEL;A01AC;Corticosteroids for local oral treatment;ORVA ILAÇ SAN. VE TIC. A.S.;Normal
